predictand_form,domain,predictor_family,predictor,index,scenario,n_models,n_families,r,permutation_p,LOFO_skill,bootstrap_sign_stability,q_BH,satisfies_all_criteria,predictor_enters_predictand
absolute,national,A,PFS,rx1day,ssp126,13,8,0.143,0.6587,-2.137,0.702,0.9926,no,no
absolute,national,A,PFS,rx1day,ssp245,13,8,0.346,0.2482,-0.664,0.967,0.633,no,no
absolute,national,A,PFS,rx1day,ssp370,13,8,0.088,0.7898,-1.901,0.622,0.997,no,no
absolute,national,A,PFS,rx1day,ssp585,13,8,0.004,0.9886,-1.753,0.55,0.997,no,no
absolute,national,A,PFS,r95p,ssp126,13,8,0.109,0.6825,-1.248,0.681,0.997,no,no
absolute,national,A,PFS,r95p,ssp245,13,8,0.471,0.1118,-0.037,0.994,0.3712,no,no
absolute,national,A,PFS,r95p,ssp370,13,8,-0.014,0.965,-0.592,0.521,0.997,no,no
absolute,national,A,PFS,r95p,ssp585,13,8,-0.043,0.8896,-1.343,0.528,0.997,no,no
absolute,national,B,Rx1day climatology,rx1day,ssp126,23,13,-0.761,0.0006,0.469,1.0,0.0264,yes,yes
absolute,national,B,Rx1day climatology,rx1day,ssp245,23,13,-0.29,0.1866,-0.469,0.959,0.513,no,yes
absolute,national,B,Rx1day climatology,rx1day,ssp370,23,13,-0.692,0.0006,0.385,0.998,0.0264,yes,yes
absolute,national,B,Rx1day climatology,rx1day,ssp585,23,13,-0.324,0.1356,-0.351,0.98,0.4114,no,yes
absolute,national,B,Rx1day climatology,r95p,ssp126,23,13,-0.728,0.0014,0.309,0.989,0.0308,yes,yes
absolute,national,B,Rx1day climatology,r95p,ssp245,23,13,-0.163,0.4521,-0.375,0.83,0.8647,no,yes
absolute,national,B,Rx1day climatology,r95p,ssp370,23,13,-0.61,0.0098,0.002,0.952,0.0958,no,yes
absolute,national,B,Rx1day climatology,r95p,ssp585,23,13,-0.256,0.2454,-0.292,0.967,0.633,no,yes
absolute,national,B,R95p climatology,rx1day,ssp126,23,13,-0.711,0.0014,0.323,0.972,0.0308,yes,yes
absolute,national,B,R95p climatology,rx1day,ssp245,23,13,-0.1,0.6589,-0.388,0.734,0.9926,no,yes
absolute,national,B,R95p climatology,rx1day,ssp370,23,13,-0.595,0.0056,0.138,0.931,0.0704,no,yes
absolute,national,B,R95p climatology,rx1day,ssp585,23,13,-0.077,0.7365,-0.241,0.771,0.997,no,yes
absolute,national,B,R95p climatology,r95p,ssp126,23,13,-0.718,0.0036,0.255,0.959,0.0528,no,yes
absolute,national,B,R95p climatology,r95p,ssp245,23,13,-0.111,0.6043,-0.451,0.753,0.9668,no,yes
absolute,national,B,R95p climatology,r95p,ssp370,23,13,-0.618,0.016,-0.053,0.882,0.1083,no,yes
absolute,national,B,R95p climatology,r95p,ssp585,23,13,-0.104,0.6551,-0.269,0.794,0.9926,no,yes
absolute,national,B,R99p climatology,rx1day,ssp126,23,13,-0.666,0.0052,0.178,0.942,0.0704,no,yes
absolute,national,B,R99p climatology,rx1day,ssp245,23,13,-0.024,0.9164,-0.27,0.573,0.997,no,yes
absolute,national,B,R99p climatology,rx1day,ssp370,23,13,-0.549,0.0144,0.008,0.894,0.1083,no,yes
absolute,national,B,R99p climatology,rx1day,ssp585,23,13,0.006,0.9802,-0.181,0.517,0.997,no,yes
absolute,national,B,R99p climatology,r95p,ssp126,23,13,-0.678,0.0112,0.112,0.912,0.0985,no,yes
