predictor,index,region,n,r,p,p_perm,rho,p_rho,LOO,LOFO,q_BH12,q_BH_all
PFS (composite process fidelity),Rx1day,uae,15,-0.025,0.9296,0.9316,0.289,0.2957,-0.91,-1.015,0.968,0.98
PFS (composite process fidelity),R95p,uae,15,-0.033,0.9083,0.9036,0.139,0.6205,-0.408,-0.503,0.968,0.98
PFS (composite process fidelity),Rx1day,east,15,-0.011,0.9676,0.9718,0.382,0.1598,-0.939,-0.976,0.968,0.98
PFS (composite process fidelity),R95p,east,15,-0.145,0.6058,0.632,0.139,0.6205,-0.612,-0.674,0.909,0.98
S_IVT (IVT pattern),Rx1day,uae,15,-0.073,0.797,0.808,0.254,0.3618,-1.146,-1.219,,0.98
S_IVT (IVT pattern),R95p,uae,15,-0.059,0.8341,0.8351,0.075,0.7905,-0.522,-0.6,,0.98
S_IVT (IVT pattern),Rx1day,east,15,-0.06,0.8309,0.8568,0.318,0.2483,-1.194,-1.227,,0.98
S_IVT (IVT pattern),R95p,east,15,-0.168,0.5491,0.5971,0.086,0.7613,-0.814,-0.869,,0.98
A_IVT (IVT amplitude),Rx1day,uae,15,0.045,0.8733,0.8775,0.279,0.3147,-0.8,-0.886,,0.98
A_IVT (IVT amplitude),R95p,uae,15,0.007,0.9804,0.9785,0.132,0.6387,-0.351,-0.435,,0.98
A_IVT (IVT amplitude),Rx1day,east,15,0.065,0.8185,0.8283,0.389,0.1515,-0.825,-0.846,,0.98
A_IVT (IVT amplitude),R95p,east,15,-0.11,0.6962,0.7177,0.136,0.6296,-0.517,-0.571,,0.98
D_IVTdir (IVT direction),Rx1day,uae,15,-0.047,0.8673,0.8615,-0.113,0.6895,-0.042,-0.114,,0.98
D_IVTdir (IVT direction),R95p,uae,15,0.142,0.6127,0.5977,-0.122,0.6661,-0.051,-0.065,,0.98
D_IVTdir (IVT direction),Rx1day,east,15,0.009,0.9745,0.9804,-0.223,0.4235,-0.442,-0.455,,0.98
D_IVTdir (IVT direction),R95p,east,15,0.229,0.411,0.4757,0.256,0.3579,-0.064,-0.059,,0.98
S_Z500 (500hPa circulation),Rx1day,uae,15,-0.409,0.1304,0.1317,-0.446,0.0958,-0.316,-0.33,,0.82
S_Z500 (500hPa circulation),R95p,uae,15,-0.468,0.0787,0.0748,-0.361,0.1861,-0.405,-0.44,,0.661
S_Z500 (500hPa circulation),Rx1day,east,15,-0.493,0.0618,0.0454,-0.406,0.133,0.195,0.17,,0.661
S_Z500 (500hPa circulation),R95p,east,15,-0.495,0.0604,0.0434,-0.175,0.5325,0.199,0.174,,0.661
S_MSL (sea-level pressure),Rx1day,uae,15,-0.285,0.3028,0.3052,-0.461,0.0837,-0.091,-1.062,,0.98
S_MSL (sea-level pressure),R95p,uae,15,-0.278,0.3151,0.2845,-0.536,0.0393,-0.016,-1.052,,0.98
S_MSL (sea-level pressure),Rx1day,east,15,-0.453,0.0901,0.0867,-0.535,0.0401,0.138,-0.721,,0.661
S_MSL (sea-level pressure),R95p,east,15,-0.369,0.1761,0.1759,-0.24,0.3882,0.072,-0.894,,0.861
CBF (EOF congruence),Rx1day,uae,15,-0.265,0.3399,0.3389,-0.465,0.0804,-0.017,-0.116,,0.98
CBF (EOF congruence),R95p,uae,15,-0.222,0.4266,0.3844,-0.552,0.033,-0.083,-0.179,,0.98
CBF (EOF congruence),Rx1day,east,15,-0.175,0.5324,0.5513,-0.433,0.1069,-0.14,-0.051,,0.98
CBF (EOF congruence),R95p,east,15,-0.132,0.6384,0.6512,-0.399,0.1408,-0.18,-0.119,,0.98
r_IVT,Rx1day,uae,15,-0.064,0.8208,0.8256,-0.166,0.5538,-0.059,-0.155,,0.98
r_IVT,R95p,uae,15,-0.049,0.8626,0.8549,-0.211,0.4505,-0.047,-0.104,,0.98
r_IVT,Rx1day,east,15,-0.183,0.5141,0.5341,-0.195,0.4866,-0.143,-0.245,,0.98
r_IVT,R95p,east,15,-0.032,0.9085,0.9163,0.17,0.5452,-0.214,-0.342,,0.98
sdratio_IVT,Rx1day,uae,15,0.121,0.6682,0.6769,0.272,0.3273,-0.567,-0.671,,0.98
sdratio_IVT,R95p,uae,15,0.051,0.8564,0.8497,0.129,0.6476,-0.256,-0.351,,0.98
sdratio_IVT,Rx1day,east,15,0.134,0.6345,0.632,0.391,0.1491,-0.551,-0.568,,0.98
sdratio_IVT,R95p,east,15,-0.064,0.8201,0.8296,0.138,0.6248,-0.389,-0.445,,0.98
Historical extreme level,Rx1day,uae,15,-0.583,0.0224,0.0242,-0.532,0.0412,0.249,0.272,0.2,0.661
Historical extreme level,R95p,uae,15,-0.551,0.0334,0.0283,-0.579,0.0238,-0.055,-0.005,0.2,0.661
Historical extreme level,Rx1day,east,15,-0.388,0.1524,0.1491,-0.289,0.2957,0.041,0.043,0.61,0.838
Historical extreme level,R95p,east,15,-0.243,0.3823,0.3793,-0.286,0.3019,-0.18,-0.21,0.681,0.98
Present-day variability,Rx1day,uae,15,-0.244,0.3817,0.383,-0.221,0.4277,0.021,0.064,0.681,0.98
Present-day variability,R95p,uae,15,-0.237,0.3958,0.3949,-0.225,0.4201,-0.112,0.013,0.681,0.98
Present-day variability,Rx1day,east,15,-0.031,0.9114,0.9091,0.046,0.8695,-0.084,-0.068,0.968,0.98
Present-day variability,R95p,east,15,0.236,0.3973,0.4002,-0.029,0.9195,-0.026,-0.051,0.681,0.98
