model,family,PFS,dT_uae,dT_east,Rx1day_uae_histlevel,Rx1day_uae_futpct,R95p_uae_futpct,Rx1day_east_futpct,R95p_east_futpct
CESM2,CESM,0.985,5.5469,4.6495,12.438207354545591,61.9423650938005,108.98604717559644,45.0460475118066,84.03932738876036
MIROC6,MIROC,0.973,5.6927,6.005,15.527296075820924,-11.914275230605025,-17.627937305992376,-6.471534380339363,-31.629206570105875
CESM2-WACCM,CESM,0.968,5.4448,4.494,16.86115520477295,2.108944036155144,-9.567740726404596,-0.9638667304692744,-20.65405514288018
TaiESM1,CESM,0.935,5.991,5.0527,10.79766506433487,54.22048488200278,268.1220417491302,26.50846831141008,122.4431746238122
NorESM2-MM,CESM,0.924,5.132,4.2139,13.724750747680664,1.3069572925642612,5.000824979036101,-11.804858472539998,0.7146698084858066
NorESM2-LM,CESM,0.922,5.0698,4.5495,13.779251890182495,-12.298309623692257,-0.0982736868573088,-6.854494886491193,-14.114945033855788
GFDL-CM4,GFDL,0.91,5.3382,4.6618,16.413354721069336,27.04122196585228,100.2576259085958,41.61478035193253,124.45864085846908
INM-CM5-0,INM,0.879,3.7653,3.6234,13.231449165344236,15.754262981295438,38.24014436969895,1.518255108604656,7.878570061102486
MPI-ESM1-2-HR,MPI,0.876,4.2641,3.9758,16.262385187149047,-7.0156039712870415,-24.216046845053302,-22.8372841898042,-24.9004630717926
MPI-ESM1-2-LR,MPI,0.875,4.0987,3.6814,14.657079157829283,-33.312398916830794,-46.80375084098945,-13.063164037968532,-23.016980348036675
INM-CM4-8,INM,0.833,4.0523,3.93,14.306503105163577,11.988586267740754,62.28722711578622,32.97914205726452,76.02878078047796
FGOALS-g3,FGOALS,0.827,3.6112,3.1226,11.63475178718567,12.526782375220025,3.229176706647902,-7.743778566482909,-38.11882521236982
EC-Earth3,EC-Earth,0.802,6.0275,5.5228,16.56267515182495,-35.16425701976594,-30.216051960262583,-29.198974883735257,18.761267414096785
IPSL-CM6A-LR,IPSL,0.715,5.6457,5.0821,12.711344747543334,-25.16673534739879,-7.578256083245808,-35.656005884034954,-62.69039942885417
CanESM5,CanESM,0.512,7.6451,7.4272,10.00845892906189,48.912619436335085,114.71668264845336,39.57994935738302,117.52384126793434
