model,Rx1day_uae_histlevel,Rx1day_uae_futpct,R95p_uae_histlevel,R95p_uae_futpct,Rx1day_east_histlevel,Rx1day_east_futpct,R95p_east_histlevel,R95p_east_futpct,dT_uae,dT_east,family
ACCESS-CM2,12.401,83.1135,8.3916,314.0778,17.1099,70.3318,18.8135,244.2083,5.9996,4.8011,ACCESS
ACCESS-ESM1-5,16.3055,48.7778,11.8785,208.3306,25.1825,25.8068,28.4043,114.1378,5.2694,4.538,ACCESS
BCC-CSM2-MR,17.1374,-4.9122,10.2571,-12.642,23.2827,4.8689,21.6448,-21.6703,4.0466,3.3469,BCC
CESM2,15.21,64.4734,10.9714,157.2157,21.1864,60.5648,23.1422,116.8508,5.5469,4.6495,CESM
CESM2-WACCM,18.5539,14.5188,12.3319,28.8822,27.2143,4.8745,27.0073,-8.0505,5.4448,4.494,CESM
CMCC-CM2-SR5,14.6488,59.7946,9.9993,242.0104,23.7381,39.3251,23.215,176.1981,,,CMCC
CMCC-ESM2,14.2628,39.6056,9.7638,212.272,22.984,17.4793,22.3762,149.1498,5.3262,4.7152,CMCC
CNRM-CM6-1,16.1215,-21.1492,9.643,-16.2637,23.1656,-17.8638,21.0076,-13.7108,5.7648,5.258,CNRM
CNRM-ESM2-1,14.1217,36.1703,9.2788,113.3755,22.5877,8.8683,22.5149,53.8355,5.1771,4.6619,CNRM
CanESM5,11.137,56.8772,9.3132,126.0425,17.2833,41.9909,21.678,120.7765,7.6451,7.4272,CanESM
EC-Earth3,17.9226,-14.1237,10.4765,23.9434,25.929,-23.2828,23.8092,8.158,6.0275,5.5228,EC-Earth
EC-Earth3-Veg-LR,13.7046,10.7564,10.2842,54.706,20.4267,2.885,22.9345,25.6153,5.5684,4.986,EC-Earth
FGOALS-g3,13.2945,-1.1731,11.3538,-20.7806,20.129,-11.1664,23.575,-34.4846,3.6112,3.1226,FGOALS
GFDL-CM4,17.6412,19.578,9.9762,65.3655,23.6828,39.445,20.3065,101.0109,5.3382,4.6618,GFDL
GFDL-ESM4,17.2478,-8.5659,9.8018,47.356,23.9552,-13.6517,22.2356,11.5572,4.0216,3.5576,GFDL
GISS-E2-1-G,13.8082,-12.1485,9.1588,-32.6413,22.4474,-19.9292,20.9406,-56.3915,4.4996,4.0635,GISS
HadGEM3-GC31-LL,15.7274,30.3155,10.0342,169.6204,21.5373,17.7002,20.5306,95.7129,6.688,5.9881,HadGEM
HadGEM3-GC31-MM,16.7145,40.1346,8.9259,202.2544,23.2332,46.8156,17.6912,265.2539,6.6428,5.913,HadGEM
IITM-ESM,14.0598,18.5134,7.9919,60.4353,20.7642,47.2762,17.0868,99.5272,3.6482,3.5083,IITM
INM-CM4-8,15.0753,20.7766,10.3972,82.1999,22.6815,34.9521,24.7781,82.1091,4.0523,3.93,INM
INM-CM5-0,14.3276,16.2677,9.231,57.2768,21.8311,1.4804,19.2143,13.4251,3.7653,3.6234,INM
IPSL-CM6A-LR,13.7232,-2.6982,7.5101,35.8821,19.2663,-29.6197,17.4183,-53.6212,5.6457,5.0821,IPSL
KACE-1-0-G,4.9894,21.9096,2.6361,188.1914,5.7705,18.0106,4.9223,158.146,5.8213,5.2651,HadGEM
KIOST-ESM,13.9182,3.8351,9.1892,34.493,19.6878,9.0813,18.5899,43.3285,4.0223,3.5888,KIOST
MIROC-ES2L,13.1248,-5.0933,9.323,-25.8024,20.3776,-14.2543,20.9488,-34.0429,4.7269,4.8371,MIROC
MIROC6,17.1898,-2.5023,11.6674,1.0901,23.1588,-5.0335,25.0597,-28.078,5.6927,6.005,MIROC
MPI-ESM1-2-HR,17.1182,1.3792,10.9034,19.0809,26.8185,-19.4863,24.5277,-15.2477,4.2641,3.9758,MPI
MPI-ESM1-2-LR,14.8555,-17.2411,10.4953,-18.726,21.4508,-5.0814,22.2895,-4.0676,4.0987,3.6814,MPI
NESM3,15.8068,-13.2247,11.3404,-22.3664,23.3229,-8.3362,23.797,-18.451,4.8524,4.2647,MPI
NorESM2-LM,15.0306,-8.8061,11.7508,-0.3747,21.403,-6.2972,25.1752,0.0783,5.0698,4.5495,CESM
NorESM2-MM,15.2582,6.5474,9.2746,7.3963,24.9825,-9.3576,21.1396,1.4184,5.132,4.2139,CESM
TaiESM1,12.8927,42.531,8.0249,203.8527,19.9923,21.0116,19.8264,111.0069,5.991,5.0527,CESM
UKESM1-0-LL,15.0141,70.5213,10.334,283.2875,20.6339,52.7951,20.5224,210.002,6.9068,6.1603,HadGEM
