model,region,period,season,rx1day,r95p
ACCESS-CM2,uae,hist,1990,16.0313,10.4743
ACCESS-CM2,uae,hist,1991,8.6094,0.3089
ACCESS-CM2,uae,hist,1992,4.1734,0.0
ACCESS-CM2,uae,hist,1993,14.1705,5.0418
ACCESS-CM2,uae,hist,1994,13.8409,3.3697
ACCESS-CM2,uae,hist,1995,7.2613,1.2821
ACCESS-CM2,uae,hist,1996,7.1208,0.0669
ACCESS-CM2,uae,hist,1997,3.7277,0.2644
ACCESS-CM2,uae,hist,1998,11.5496,5.293
ACCESS-CM2,uae,hist,1999,11.079,2.3482
ACCESS-CM2,uae,hist,2000,18.4272,12.7999
ACCESS-CM2,uae,hist,2001,14.1141,7.394
ACCESS-CM2,uae,hist,2002,4.4945,0.8177
ACCESS-CM2,uae,hist,2003,17.6116,9.4002
ACCESS-CM2,uae,hist,2004,10.4596,4.5703
ACCESS-CM2,uae,hist,2005,2.9055,0.0
ACCESS-CM2,uae,hist,2006,31.0916,42.7483
ACCESS-CM2,uae,hist,2007,3.3497,0.2431
ACCESS-CM2,uae,hist,2008,4.1363,0.0
ACCESS-CM2,uae,hist,2009,11.1167,2.2641
ACCESS-CM2,uae,hist,2010,20.1415,16.0736
ACCESS-CM2,uae,hist,2011,14.5398,5.4021
ACCESS-CM2,uae,hist,2012,29.8647,54.2924
ACCESS-CM2,uae,hist,2013,3.8789,0.5741
ACCESS-CM2,uae,hist,2014,14.0647,3.974
ACCESS-CM2,uae,fut,2076,23.0019,26.1466
ACCESS-CM2,uae,fut,2077,22.7271,22.7753
ACCESS-CM2,uae,fut,2078,30.343,31.8101
ACCESS-CM2,uae,fut,2079,13.8504,4.413
ACCESS-CM2,uae,fut,2080,27.4477,63.4313
ACCESS-CM2,uae,fut,2081,3.6393,0.0
ACCESS-CM2,uae,fut,2082,31.9373,100.4818
ACCESS-CM2,uae,fut,2083,4.983,0.1809
ACCESS-CM2,uae,fut,2084,26.4159,22.9892
ACCESS-CM2,uae,fut,2085,27.8085,33.7331
ACCESS-CM2,uae,fut,2086,4.8119,0.1743
ACCESS-CM2,uae,fut,2087,32.7377,52.7889
ACCESS-CM2,uae,fut,2088,7.1667,1.1459
ACCESS-CM2,uae,fut,2089,21.0451,19.0551
ACCESS-CM2,uae,fut,2090,20.218,19.6706
ACCESS-CM2,uae,fut,2091,28.7489,30.4251
ACCESS-CM2,uae,fut,2092,28.8084,39.0195
ACCESS-CM2,uae,fut,2093,2.6271,0.0
ACCESS-CM2,uae,fut,2094,33.8541,52.9582
ACCESS-CM2,uae,fut,2095,32.9798,68.5784
ACCESS-CM2,uae,fut,2096,16.8837,10.3519
ACCESS-CM2,uae,fut,2097,11.1262,3.7163
ACCESS-CM2,uae,fut,2098,30.2559,100.5089
ACCESS-CM2,uae,fut,2099,24.58,42.775
ACCESS-CM2,uae,fut,2100,27.0954,69.1717
ACCESS-CM2,east,hist,1990,24.5257,36.6908
ACCESS-CM2,east,hist,1991,17.5527,4.4864
ACCESS-CM2,east,hist,1992,9.6738,0.0
ACCESS-CM2,east,hist,1993,23.0644,17.7921
ACCESS-CM2,east,hist,1994,13.0812,0.0
ACCESS-CM2,east,hist,1995,10.2671,0.0
ACCESS-CM2,east,hist,1996,7.2872,0.0
ACCESS-CM2,east,hist,1997,5.9888,0.0
ACCESS-CM2,east,hist,1998,9.9414,0.0
ACCESS-CM2,east,hist,1999,9.8487,0.0
ACCESS-CM2,east,hist,2000,25.4034,27.9491
ACCESS-CM2,east,hist,2001,23.0147,22.5355
ACCESS-CM2,east,hist,2002,5.0494,0.0
ACCESS-CM2,east,hist,2003,27.2953,37.0144
ACCESS-CM2,east,hist,2004,23.1608,24.865
ACCESS-CM2,east,hist,2005,4.5666,0.0
ACCESS-CM2,east,hist,2006,50.0095,128.436
ACCESS-CM2,east,hist,2007,4.606,0.0
ACCESS-CM2,east,hist,2008,6.5067,0.0
ACCESS-CM2,east,hist,2009,27.5923,23.4329
ACCESS-CM2,east,hist,2010,25.1815,34.0975
ACCESS-CM2,east,hist,2011,18.3,3.8966
ACCESS-CM2,east,hist,2012,26.7998,73.13
ACCESS-CM2,east,hist,2013,10.5046,1.492
ACCESS-CM2,east,hist,2014,20.4273,14.396
ACCESS-CM2,east,fut,2076,22.0258,25.2995
ACCESS-CM2,east,fut,2077,21.6919,17.5381
ACCESS-CM2,east,fut,2078,32.3178,42.8472
ACCESS-CM2,east,fut,2079,26.4297,26.1162
ACCESS-CM2,east,fut,2080,35.5827,156.8696
ACCESS-CM2,east,fut,2081,4.3035,0.0
ACCESS-CM2,east,fut,2082,38.7393,272.545
ACCESS-CM2,east,fut,2083,14.3485,0.659
ACCESS-CM2,east,fut,2084,30.2445,30.2563
ACCESS-CM2,east,fut,2085,35.4871,68.8849
ACCESS-CM2,east,fut,2086,5.4657,0.0
ACCESS-CM2,east,fut,2087,34.5009,47.0594
ACCESS-CM2,east,fut,2088,9.6433,0.0
ACCESS-CM2,east,fut,2089,21.8994,20.2432
ACCESS-CM2,east,fut,2090,23.9147,38.3161
ACCESS-CM2,east,fut,2091,35.3784,43.6727
ACCESS-CM2,east,fut,2092,33.194,50.502
ACCESS-CM2,east,fut,2093,3.8199,0.0
ACCESS-CM2,east,fut,2094,39.878,94.1998
ACCESS-CM2,east,fut,2095,37.7035,152.0978
ACCESS-CM2,east,fut,2096,31.578,28.9465
ACCESS-CM2,east,fut,2097,13.5995,1.6152
ACCESS-CM2,east,fut,2098,42.4603,222.5355
ACCESS-CM2,east,fut,2099,38.3234,101.2837
ACCESS-CM2,east,fut,2100,36.4705,178.8402
ACCESS-ESM1-5,uae,hist,1990,6.1844,0.2716
ACCESS-ESM1-5,uae,hist,1991,13.638,6.0504
ACCESS-ESM1-5,uae,hist,1992,5.9364,0.0
ACCESS-ESM1-5,uae,hist,1993,6.174,0.0337
ACCESS-ESM1-5,uae,hist,1994,30.2157,32.9901
ACCESS-ESM1-5,uae,hist,1995,10.9437,3.8401
ACCESS-ESM1-5,uae,hist,1996,18.2568,13.0451
ACCESS-ESM1-5,uae,hist,1997,7.6549,1.2374
ACCESS-ESM1-5,uae,hist,1998,8.888,0.7147
ACCESS-ESM1-5,uae,hist,1999,8.9547,0.2891
ACCESS-ESM1-5,uae,hist,2000,32.6726,52.5168
