model,Rx1day_uae_histlevel,Rx1day_uae_futpct,R95p_uae_histlevel,R95p_uae_futpct,Rx1day_east_histlevel,Rx1day_east_futpct,R95p_east_histlevel,R95p_east_futpct,dT_uae,dT_east,family
ACCESS-CM2,11.9104,79.7061,7.5601,331.8978,17.186,55.7086,18.0086,259.9014,5.9996,4.8011,ACCESS
ACCESS-ESM1-5,13.9469,56.2304,9.7972,224.1059,22.0285,31.1037,24.7527,122.4749,5.2694,4.538,ACCESS
BCC-CSM2-MR,16.8796,-21.9152,9.2153,-38.1174,22.7113,-14.3522,20.4167,-48.1027,4.0466,3.3469,BCC
CESM2,13.7797,62.9639,9.4398,132.3336,19.7517,54.4505,21.7064,93.7521,5.5469,4.6495,CESM
CESM2-WACCM,16.7139,14.0263,10.6252,17.5727,24.7934,4.2929,25.0805,-17.8532,5.4448,4.494,CESM
CMCC-CM2-SR5,13.6025,38.978,8.9956,207.3502,22.5939,20.672,22.0543,153.8778,,,CMCC
CMCC-ESM2,12.2807,34.3507,8.26,192.2252,20.0082,15.6353,20.4636,133.8518,5.3262,4.7152,CMCC
CNRM-CM6-1,15.1358,-23.0786,8.3098,-13.9076,22.3446,-16.4491,19.2744,-8.1008,5.7648,5.258,CNRM
CNRM-ESM2-1,13.9711,37.1501,8.1352,129.6102,22.4771,14.0,21.1909,65.2362,5.1771,4.6619,CNRM
CanESM5,10.778,52.7121,8.762,108.1996,16.9471,44.9986,21.0573,113.2993,7.6451,7.4272,CanESM
EC-Earth3,16.7511,-31.508,9.4084,-14.1084,24.2323,-26.7896,22.0286,6.9355,6.0275,5.5228,EC-Earth
EC-Earth3-Veg-LR,13.1437,-10.3234,9.1746,23.0714,20.5132,-12.1249,21.0767,27.868,5.5684,4.986,EC-Earth
FGOALS-g3,12.616,5.342,10.6158,-21.8987,19.5945,-6.2158,22.8873,-37.0767,3.6112,3.1226,FGOALS
GFDL-CM4,17.227,14.1911,8.8272,76.7664,24.2554,20.2171,18.8993,111.2017,5.3382,4.6618,GFDL
GFDL-ESM4,16.4362,-11.3122,8.9324,36.6854,23.2357,-10.8131,20.9765,15.8711,4.0216,3.5576,GFDL
GISS-E2-1-G,13.8395,-21.7057,8.2714,-43.4839,23.03,-26.2599,19.8061,-56.2008,4.4996,4.0635,GISS
HadGEM3-GC31-LL,15.2228,27.8228,9.0664,149.2091,20.9407,19.5445,19.4922,97.5733,6.688,5.9881,HadGEM
HadGEM3-GC31-MM,15.1392,50.7356,7.5064,220.8241,21.654,50.7286,16.4436,276.4215,6.6428,5.913,HadGEM
IITM-ESM,13.9034,4.756,7.4606,35.7505,21.2138,-7.6528,17.0147,24.696,3.6482,3.5083,IITM
INM-CM4-8,14.9686,11.8501,9.5732,65.1415,22.9394,22.6283,23.7932,82.8287,4.0523,3.93,INM
INM-CM5-0,13.5578,17.7182,8.5056,45.6606,20.8233,1.9022,18.8914,4.7029,3.7653,3.6234,INM
IPSL-CM6A-LR,12.7059,-19.641,6.6432,-5.929,19.009,-33.5394,17.0964,-62.0,5.6457,5.0821,IPSL
KACE-1-0-G,4.8568,21.8759,2.2832,212.7452,5.7917,15.8153,4.6718,161.3688,5.8213,5.2651,HadGEM
KIOST-ESM,13.1856,10.3163,7.8782,44.0367,19.9015,12.4075,17.6116,46.3743,4.0223,3.5888,KIOST
MIROC-ES2L,12.6616,-11.6567,8.5532,-36.9939,19.8806,-17.4798,20.3316,-33.3691,4.7269,4.8371,MIROC
MIROC6,16.3195,-10.2242,10.4943,-21.9269,22.9003,-6.2753,24.0114,-41.9926,5.6927,6.005,MIROC
MPI-ESM1-2-HR,16.5542,-5.4533,9.9376,-2.3556,26.0807,-18.6494,23.2116,-19.9727,4.2641,3.9758,MPI
MPI-ESM1-2-LR,14.9706,-32.6578,9.8537,-46.2067,22.264,-20.9023,21.6136,-30.462,4.0987,3.6814,MPI
NESM3,15.4461,-17.5205,10.4895,-26.4459,22.3669,-0.4929,22.78,-14.4016,4.8524,4.2647,MPI
NorESM2-LM,14.2695,-5.8557,10.3996,0.4513,21.0088,-2.7372,23.5733,-2.4788,5.0698,4.5495,CESM
NorESM2-MM,13.8161,6.1247,7.9382,4.7166,23.1551,-6.9083,19.5106,4.0232,5.132,4.2139,CESM
TaiESM1,10.4165,58.4337,6.9685,224.7536,16.8407,31.2395,18.1454,126.9602,5.991,5.0527,CESM
UKESM1-0-LL,14.5565,66.2209,9.4752,261.7768,20.7483,47.8778,20.0694,203.1207,6.9068,6.1603,HadGEM
